Month,Average USD/EUR=,Min USD/EUR=,Max USD/EUR=,Nb of working days
11/2004,0.769859,0.752162,0.787092,22
10/2004,0.800834,0.7817390000000001,0.815195,21
9/2004,0.818521,0.805867,0.830634,22
8/2004,0.821368,0.809127,0.834516,22
7/2004,0.815355,0.805672,0.8315319999999999,22
6/2004,0.823558,0.811754,0.8332639999999999,22
5/2004,0.832926,0.816593,0.8473139999999999,21
4/2004,0.8344600000000001,0.811688,0.8455940000000001,20
3/2004,0.8155979999999999,0.801025,0.825219,23
2/2004,0.7908189999999999,0.777726,0.805283,20
1/2004,0.792891,0.7795449999999999,0.808211,21
12/2003,0.814114,0.791766,0.835073,21
11/2003,0.854767,0.83375,0.87535,20
10/2003,0.8553200000000001,0.8483200000000001,0.863632,23
9/2003,0.8916430000000001,0.8582219999999999,0.927386,22
8/2003,0.8980379999999999,0.8778090000000001,0.9245559999999999,21
7/2003,0.879439,0.866326,0.897827,23
6/2003,0.857526,0.8435969999999999,0.876194,21
5/2003,0.863654,0.840266,0.891424,21
4/2003,0.922013,0.898392,0.945001,20
3/2003,0.925589,0.9025270000000001,0.946074,21
2/2003,0.928272,0.91659,0.934056,20
1/2003,0.941649,0.919963,0.96367,22
12/2002,0.9823139999999999,0.9535620000000001,1.013069,20
11/2002,0.99869,0.987557,1.009591,21
10/2002,1.019279,1.0111219999999999,1.027221,23
9/2002,1.0196479999999999,1.002506,1.036377,21
8/2002,1.022781,1.0128629999999998,1.032311,22
7/2002,1.008023,0.98561,1.028278,23
6/2002,1.04703,1.002506,1.073768,20
5/2002,1.090641,1.065303,1.10742,22
4/2002,1.128958,1.106439,1.141162,21
3/2002,1.1418549999999998,1.129561,1.156203,20
2/2002,1.149406,1.137139,1.15848,20
1/2002,1.132378,1.106439,1.165773,22
12/2001,1.121414,1.105094,1.136622,19
11/2001,1.125615,1.0992629999999999,1.1392120000000001,22
10/2001,1.10405,1.085305,1.1252389999999999,23
9/2001,1.0978,1.078865,1.129305,20
8/2001,1.110822,1.085069,1.141162,23
7/2001,1.16216,1.137268,1.192748,22
6/2001,1.1721549999999998,1.154468,1.181335,21
5/2001,1.1442290000000002,1.118693,1.179245,22
4/2001,1.121523,1.1071739999999999,1.139991,19
3/2001,1.0999290000000002,1.068034,1.1322459999999999,22
2/2001,1.085116,1.061008,1.1042399999999999,20
1/2001,1.065941,1.047669,1.093374,22
12/2000,1.114927,1.074114,1.1448200000000002,19
11/2000,1.167826,1.145475,1.189626,22
10/2000,1.16983,1.136105,1.211827,22
9/2000,1.146944,1.111111,1.179802,21
8/2000,1.106222,1.079447,1.122839,23
7/2000,1.0643479999999998,1.047998,1.085069,21
6/2000,1.053652,1.03434,1.0721559999999999,22
5/2000,1.104009,1.06849,1.1267610000000001,22
4/2000,1.056359,1.0338049999999999,1.1007149999999999,18
3/2000,1.037009,1.028278,1.0478889999999998,23
2/2000,1.016965,0.993246,1.037452,21
1/2000,0.986733,0.962649,1.0213459999999999,21
12/1999,0.9894149999999999,0.976658,0.998502,23
11/1999,0.9674459999999999,0.945895,0.992359,22
10/1999,0.9341139999999999,0.920048,0.9566629999999999,21
9/1999,0.952413,0.936154,0.966931,22
8/1999,0.9431790000000001,0.9266979999999999,0.9584969999999999,22
7/1999,0.966283,0.9347540000000001,0.9877520000000001,22
6/1999,0.9636469999999999,0.9547450000000001,0.9727629999999999,22
5/1999,0.940975,0.9260120000000001,0.9563889999999999,21
4/1999,0.934256,0.9202170000000001,0.94509,22
3/1999,0.918917,0.9081,0.9352790000000001,23
2/1999,0.89236,0.8816790000000001,0.91166,20
1/1999,0.861346,0.848176,0.878426,21
12/1998,0.853966,0.8443809999999999,0.859807,23
11/1998,0.859614,0.8442200000000001,0.8729899999999999,21
10/1998,0.8378040000000001,0.824375,0.848673,22
9/1998,0.8695129999999999,0.8505389999999999,0.8962379999999999,22
8/1998,0.913006,0.9035120000000001,0.9231540000000001,21
7/1998,0.9176799999999999,0.9012600000000001,0.9330120000000001,23
6/1998,0.914278,0.904241,0.926473,22
5/1998,0.906782,0.899817,0.9162969999999999,21
4/1998,0.9260719999999999,0.914466,0.945417,22
3/1998,0.9315389999999999,0.9216489999999999,0.941034,22
2/1998,0.926156,0.915594,0.93475,20
1/1998,0.925947,0.909143,0.938658,22
12/1997,0.905767,0.89992,0.913372,23
11/1997,0.882941,0.8689049999999999,0.898842,20
10/1997,0.895985,0.874239,0.9094260000000001,23
9/1997,0.9125049999999999,0.896548,0.9292590000000001,22
8/1997,0.938876,0.916641,0.96219,21
7/1997,0.913215,0.8897139999999999,0.9398700000000001,23
6/1997,0.882293,0.876682,0.8895430000000001,21
5/1997,0.8714149999999999,0.8621690000000001,0.8843059999999999,22
4/1997,0.874124,0.8537040000000001,0.885059,22
3/1997,0.8676440000000001,0.8584959999999999,0.8789879999999999,21
2/1997,0.856468,0.840434,0.8701620000000001,20
1/1997,0.817998,0.790499,0.8440690000000001,23
12/1996,0.794113,0.784706,0.8003100000000001,22
11/1996,0.775522,0.769292,0.786388,21
10/1996,0.784003,0.774584,0.790709,23
9/1996,0.775252,0.765166,0.7843979999999999,21
8/1996,0.765263,0.760954,0.770101,22
7/1996,0.773985,0.758616,0.785366,23
6/1996,0.785362,0.7792520000000001,0.789902,20
5/1996,0.788358,0.780238,0.79475,23
4/1996,0.775367,0.765365,0.787555,22
3/1996,0.765195,0.762256,0.769221,21
2/1996,0.7609,0.7511329999999999,0.771138,21
1/1996,0.758029,0.743188,0.774675,23
12/1995,0.7509239999999999,0.7452340000000001,0.756808,21
11/1995,0.7399279999999999,0.733163,0.74956,22
10/1995,0.741735,0.730483,0.750073,22
9/1995,0.7621140000000001,0.742816,0.774997,21
8/1995,0.75284,0.725029,0.776089,23
7/1995,0.7287779999999999,0.721748,0.7364569999999999,21
6/1995,0.737157,0.728727,0.752326,22
5/1995,0.743333,0.723717,0.763375,23
4/1995,0.732183,0.723383,0.7436520000000001,20
3/1995,0.746196,0.732975,0.769777,23
2/1995,0.7832210000000001,0.767312,0.796195,20
1/1995,0.795863,0.783327,0.808279,22
12/1994,0.813265,0.802895,0.817661,22
11/1994,0.794771,0.77213,0.8108569999999999,22
10/1994,0.7836569999999999,0.769237,0.801737,21
9/1994,0.799167,0.793756,0.814389,22
8/1994,0.806858,0.7918109999999999,0.817276,23
7/1994,0.808046,0.7879229999999999,0.8231129999999999,21
6/1994,0.8361719999999999,0.812537,0.856133,22
5/1994,0.850217,0.841407,0.861085,22
4/1994,0.8683299999999999,0.850843,0.879218,21
3/1994,0.8678950000000001,0.8561290000000001,0.881019,23
2/1994,0.888127,0.878491,0.899209,20
1/1994,0.8921450000000001,0.8867219999999999,0.897777,21
12/1993,0.879084,0.8707469999999999,0.8897120000000001,23
11/1993,0.878425,0.871648,0.885503,22
10/1993,0.8506239999999999,0.8302700000000001,0.8744850000000001,21
9/1993,0.8397459999999999,0.823449,0.8628299999999999,22
8/1993,0.8755280000000001,0.862193,0.89255,22
7/1993,0.87146,0.8562350000000001,0.89133,22
6/1993,0.834728,0.805967,0.863771,22
5/1993,0.812354,0.795289,0.8280549999999999,21
4/1993,0.809984,0.794719,0.820846,22
3/1993,0.8361040000000001,0.8212430000000001,0.847252,23
2/1993,0.831858,0.8218690000000001,0.83965,20
1/1993,0.814974,0.793096,0.8311950000000001,21
12/1992,0.79675,0.780841,0.816963,23
11/1992,0.795176,0.778586,0.807059,21
10/1992,0.7450220000000001,0.707989,0.772804,22
9/1992,0.717896,0.684104,0.754536,22
8/1992,0.7124119999999999,0.691604,0.727139,21
7/1992,0.729568,0.7121770000000001,0.742713,23
6/1992,0.769378,0.742375,0.786939,22
5/1992,0.791859,0.776772,0.810234,21
4/1992,0.806417,0.794705,0.814351,22
3/1992,0.813017,0.800117,0.820694,22
2/1992,0.792764,0.7690140000000001,0.81092,20
1/1992,0.7718510000000001,0.741788,0.7964939999999999,23
12/1991,0.767502,0.744987,0.791903,22
11/1991,0.7962670000000001,0.777093,0.817296,21
10/1991,0.827451,0.813233,0.837676,23
9/1991,0.8304389999999999,0.81394,0.8528290000000001,21
8/1991,0.852923,0.8370270000000001,0.8886430000000001,22
7/1991,0.873783,0.853275,0.895853,23
6/1991,0.8714959999999999,0.8527629999999999,0.886367,20
5/1991,0.837258,0.8250430000000001,0.8497309999999999,23
4/1991,0.8304370000000001,0.809954,0.862142,22
3/1991,0.786801,0.746877,0.836982,21
2/1991,0.724403,0.711683,0.745738,20
1/1991,0.7387699999999999,0.7255560000000001,0.758546,23
12/1990,0.734785,0.7202529999999999,0.753713,21
11/1990,0.7262770000000001,0.7185159999999999,0.740772,22
10/1990,0.7428640000000001,0.735427,0.758837,23
9/1990,0.7645350000000001,0.757034,0.77603,20
8/1990,0.763772,0.750023,0.785241,23
7/1990,0.7959470000000001,0.774204,0.8055329999999999,22
6/1990,0.8189850000000001,0.808002,0.825924,21
5/1990,0.8104020000000001,0.799124,0.8234440000000001,23
4/1990,0.822406,0.815549,0.83045,21
3/1990,0.8333459999999999,0.8238030000000001,0.8396,22
2/1990,0.8215530000000001,0.811237,0.8299690000000001,20
1/1990,0.831557,0.821594,0.842791,23
12/1989,0.8546100000000001,0.82719,0.8757159999999999,21
11/1989,0.895568,0.87469,0.9098950000000001,22
10/1989,0.9125719999999999,0.897731,0.9346,22
9/1989,0.949492,0.912684,0.9683069999999999,21
8/1989,0.9362879999999999,0.900367,0.953533,23
7/1989,0.922316,0.907906,0.942681,21
6/1989,0.9647889999999999,0.950876,0.992994,22
5/1989,0.94689,0.9144979999999999,0.979297,23
4/1989,0.9109430000000001,0.9010030000000001,0.920758,20
3/1989,0.90899,0.8967930000000001,0.9213819999999999,23
2/1989,0.902977,0.886582,0.9182540000000001,20
1/1989,0.89251,0.8606389999999999,0.910249,22
12/1988,0.8576940000000001,0.8410770000000001,0.8733639999999999,22
11/1988,0.8550780000000001,0.8393930000000001,0.874101,22
10/1988,0.8902370000000001,0.86464,0.9122620000000001,21
9/1988,0.9120450000000001,0.9005190000000001,0.922686,22
8/1988,0.919861,0.908639,0.9347549999999999,23
7/1988,0.8979389999999999,0.885233,0.9193020000000001,21
6/1988,0.854195,0.8343700000000001,0.888322,22
5/1988,0.8248719999999999,0.818021,0.839169,22
4/1988,0.815388,0.809045,0.8251959999999999,21
3/1988,0.818358,0.809253,0.8267200000000001,23
2/1988,0.827156,0.8227620000000001,0.834569,21
1/1988,0.803217,0.771986,0.8197979999999999,21
12/1987,0.797034,0.772437,0.8148569999999999,23
11/1987,0.820973,0.799189,0.8390489999999999,21
10/1987,0.8741209999999999,0.8456790000000001,0.893267,22
9/1987,0.879233,0.870333,0.892065,22
8/1987,0.9013200000000001,0.8811200000000001,0.920682,21
7/1987,0.894854,0.883444,0.9016149999999999,23
6/1987,0.8813350000000001,0.8670329999999999,0.8941479999999999,22
5/1987,0.86665,0.854823,0.883368,21
4/1987,0.876441,0.86129,0.8871979999999999,22
3/1987,0.8871100000000001,0.873843,0.8983059999999999,22
2/1987,0.8844270000000001,0.869475,0.901439,20
1/1987,0.901382,0.8613620000000001,0.936615,22
12/1986,0.957451,0.936845,0.9733209999999999,23
11/1986,0.973777,0.951491,0.995373,20
10/1986,0.963717,0.949051,0.9923719999999999,23
9/1986,0.9794350000000001,0.958988,0.997209,22
8/1986,0.988511,0.9785879999999999,1.00355,21
7/1986,1.025179,1.001097,1.0424129999999998,23
6/1986,1.0594059999999998,1.0412219999999999,1.1027930000000001,21
5/1986,1.0552190000000001,1.029231,1.094875,22
4/1986,1.075707,1.030208,1.135018,22
3/1986,1.0669799999999998,1.039028,1.104167,21
2/1986,1.0970719999999998,1.039809,1.135264,20
1/1986,1.147305,1.120802,1.161284,23
12/1985,1.176971,1.154751,1.1910479999999999,22
11/1985,1.209892,1.174267,1.225147,21
10/1985,1.23394,1.2181389999999999,1.250103,23
9/1985,1.322452,1.241607,1.3799709999999998,21
8/1985,1.299447,1.282335,1.3304120000000002,22
7/1985,1.35053,1.297093,1.4104729999999999,23
6/1985,1.416899,1.390801,1.432836,20
5/1985,1.439019,1.404302,1.501265,23
4/1985,1.430855,1.381489,1.460848,22
3/1985,1.5314139999999998,1.4333690000000001,1.58241,21
2/1985,1.5214530000000002,1.4658950000000002,1.605546,20
1/1985,1.462488,1.44884,1.475035,23
12/1984,1.4339620000000002,1.41611,1.452936,21
11/1984,1.383003,1.350684,1.430069,22
10/1984,1.41895,1.397565,1.450718,23
9/1984,1.3934389999999999,1.3361379999999998,1.4591120000000002,20
8/1984,1.328601,1.3156459999999999,1.342144,23
7/1984,1.310675,1.288176,1.333756,22
6/1984,1.261179,1.231277,1.2925309999999999,21
5/1984,1.265454,1.248305,1.2826870000000001,23
4/1984,1.21865,1.1943139999999999,1.251591,21
3/1984,1.198483,1.172707,1.225407,22
2/1984,1.246302,1.2009459999999998,1.287037,21
1/1984,1.287442,1.252702,1.300668,22
12/1983,1.259576,1.234751,1.27078,22
11/1983,1.2281229999999999,1.211277,1.24496,22
10/1983,1.1935950000000002,1.1828459999999998,1.2041620000000002,21
9/1983,1.21696,1.207034,1.229255,22
8/1983,1.2162540000000002,1.1912969999999998,1.242934,23
7/1983,1.1770049999999999,1.154724,1.201818,21
6/1983,1.1590479999999999,1.1455110000000002,1.17143,22
5/1983,1.123667,1.110082,1.145284,22
4/1983,1.110417,1.09913,1.120919,21
3/1983,1.0880729999999998,1.064437,1.10856,23
2/1983,1.084942,1.069167,1.107901,20
1/1983,1.0667870000000002,1.041453,1.104276,21
12/1982,1.079381,1.057125,1.102248,23
11/1982,1.134617,1.108878,1.1487040000000002,22
10/1982,1.1209879999999999,1.107709,1.1368639999999999,21
9/1982,1.1071600000000001,1.0865129999999998,1.124557,22
8/1982,1.093443,1.069288,1.112837,22
7/1982,1.086098,1.0591840000000001,1.107896,22
6/1982,1.064222,1.024349,1.098328,22
5/1982,1.003347,0.989023,1.018327,21
4/1982,1.040659,1.014103,1.052202,22
3/1982,1.025688,1.004102,1.04494,23
2/1982,1.00631,0.992967,1.022152,20
1/1982,0.971916,0.9474540000000001,0.9929709999999999,21
12/1981,0.957169,0.93773,0.971316,23
11/1981,0.9414129999999999,0.931859,0.957432,21
10/1981,0.9506979999999999,0.923718,0.978023,22
9/1981,0.97764,0.9270149999999999,1.016804,22
8/1981,1.033774,1.0048489999999999,1.0640209999999999,21
7/1981,1.007479,0.994809,1.0185549999999999,23
6/1981,0.980246,0.959208,0.9999049999999999,22
5/1981,0.9451360000000001,0.9120940000000001,0.9644459999999999,21
4/1981,0.890718,0.863401,0.9120940000000001,22
3/1981,0.866418,0.841714,0.8903840000000001,22
2/1981,0.8698040000000001,0.8525229999999999,0.9099139999999999,20
1/1981,0.81314,0.784686,0.855634,22
12/1980,0.799397,0.788423,0.8214889999999999,23
11/1980,0.779311,0.7618699999999999,0.792528,20
10/1980,0.74756,0.732651,0.7730319999999999,23
9/1980,0.728943,0.7233649999999999,0.73854,22
8/1980,0.728434,0.720535,0.734925,21
7/1980,0.7125729999999999,0.707398,0.726216,23
6/1980,0.721121,0.716266,0.7271920000000001,21
5/1980,0.732058,0.721493,0.74058,22
4/1980,0.765616,0.733395,0.8020649999999999,22
3/1980,0.7549060000000001,0.7280479999999999,0.787928,21
2/1980,0.714838,0.708509,0.724554,21
1/1980,0.706348,0.7004199999999999,0.712047,23
12/1979,0.711453,0.702608,0.7202390000000001,21
11/1979,0.726931,0.711281,0.736244,22
10/1979,0.730788,0.709907,0.7401439999999999,23
9/1979,0.729563,0.71196,0.739055,20
8/1979,0.7403689999999999,0.736952,0.741962,23
7/1979,0.738676,0.730075,0.7475609999999999,22
6/1979,0.7633439999999999,0.745997,0.7748079999999999,21
5/1979,0.7702399999999999,0.7638699999999999,0.7767649999999999,23
4/1979,0.761488,0.755958,0.7658050000000001,21
3/1979,0.750013,0.747614,0.751948,22
2/1979,0.7482880000000001,0.7417189999999999,0.758255,20
1/1979,0.743957,0.7290909999999999,0.750961,23
12/1978,0.757127,0.733463,0.7786649999999999,21
11/1978,0.7628,0.714221,0.777385,22
10/1978,0.740566,0.697611,0.768927,22
9/1978,0.78059,0.770516,0.7926989999999999,21
8/1978,0.786725,0.761662,0.800552,23
7/1978,0.8059270000000001,0.799009,0.812234,21
6/1978,0.820185,0.814545,0.8253520000000001,22
5/1978,0.8285299999999999,0.817715,0.8376309999999999,23
4/1978,0.808729,0.79588,0.8231719999999999,20
3/1978,0.8107989999999999,0.799427,0.8270360000000001,23
2/1978,0.826139,0.8085,0.8369620000000001,20
1/1978,0.8332620000000001,0.815077,0.843708,22
12/1977,0.8485860000000001,0.8299479999999999,0.867345,22
11/1977,0.872951,0.8674790000000001,0.878129,22
10/1977,0.8804120000000001,0.873067,0.88741,21
9/1977,0.8927649999999999,0.88897,0.895668,22
8/1977,0.8884190000000001,0.880561,0.89561,23
7/1977,0.881668,0.871576,0.895703,21
6/1977,0.899034,0.8953030000000001,0.900816,22
5/1977,0.899127,0.897123,0.902185,22
4/1977,0.9032379999999999,0.8984700000000001,0.906877,21
3/1977,0.907193,0.905859,0.90886,23
2/1977,0.9099200000000001,0.907308,0.914005,20
1/1977,0.9059459999999999,0.891559,0.9158459999999999,21
12/1976,0.903392,0.89712,0.9106049999999999,23
11/1976,0.9106489999999999,0.9060879999999999,0.913824,22
10/1976,0.9130790000000001,0.9090530000000001,0.9204399999999999,21
9/1976,0.921169,0.914364,0.9271799999999999,22
8/1976,0.930169,0.926625,0.934292,22
7/1976,0.934277,0.928951,0.939786,22
6/1976,0.931617,0.929326,0.9352280000000001,22
5/1976,0.926114,0.9166139999999999,0.933853,21
4/1976,0.922002,0.915026,0.926328,22
3/1976,0.9144639999999999,0.8983180000000001,0.9299459999999999,23
2/1976,0.894573,0.8894270000000001,0.899904,20
1/1976,0.888777,0.8815200000000001,0.899169,22
12/1975,0.887459,0.8843270000000001,0.8914639999999999,23
11/1975,0.876575,0.865916,0.888436,20
10/1975,0.875941,0.8663790000000001,0.892382,23
9/1975,0.883785,0.8700030000000001,0.90517,22
8/1975,0.8685129999999999,0.8623139999999999,0.8734870000000001,21
7/1975,0.836358,0.805673,0.8686879999999999,23
6/1975,0.795549,0.7930149999999999,0.803294,21
5/1975,0.798562,0.7894329999999999,0.809062,22
4/1975,0.8101109999999999,0.801045,0.8161010000000001,22
3/1975,0.799054,0.7893140000000001,0.8055260000000001,21
2/1975,0.808496,0.7904399999999999,0.8254290000000001,20
1/1975,0.822102,0.801528,0.8383649999999999,23
12/1974,0.8496530000000001,0.8336899999999999,0.865928,22
11/1974,0.868129,0.856398,0.8779950000000001,21
10/1974,0.884144,0.8770309999999999,0.8932059999999999,23
9/1974,0.898176,0.89276,0.901875,21
8/1974,0.886251,0.869908,0.898697,22
7/1974,0.871755,0.861872,0.876764,23
6/1974,0.877181,0.8687309999999999,0.8872959999999999,20
5/1974,0.8601790000000001,0.8398479999999999,0.877448,23
4/1974,0.875293,0.85854,0.8863209999999999,22
3/1974,0.891338,0.86921,0.909306,21
2/1974,0.917884,0.896983,0.9330709999999999,20
1/1974,0.935974,0.89295,0.964799,23
12/1973,0.8802629999999999,0.8706389999999999,0.89295,21
11/1973,0.849377,0.81277,0.8722840000000001,22
10/1973,0.805393,0.797652,0.815509,23
