Month,Average USD/CHF=,Min USD/CHF=,Max USD/CHF=,Nb of working days
4/2012,0.91353,0.903868,0.9232950000000001,19
3/2012,0.9136790000000001,0.901842,0.927117,22
2/2012,0.912856,0.895644,0.929903,21
1/2012,0.9383809999999999,0.9143899999999999,0.954535,22
12/2011,0.931573,0.908983,0.9479719999999999,21
11/2011,0.9080540000000001,0.88102,0.9262229999999999,22
10/2011,0.8973760000000001,0.862359,0.9281780000000001,21
9/2011,0.8724559999999999,0.7809189999999999,0.912775,22
8/2011,0.7809560000000001,0.727431,0.8217610000000001,23
7/2011,0.824845,0.800701,0.849931,21
6/2011,0.8404,0.8333219999999999,0.8511059999999999,22
5/2011,0.873864,0.851107,0.8891399999999999,22
4/2011,0.898811,0.8658819999999999,0.924114,19
3/2011,0.9191159999999999,0.9015280000000001,0.9346459999999999,23
2/2011,0.950626,0.925579,0.9733069999999999,20
1/2011,0.956725,0.933848,0.972944,21
12/2010,0.9690469999999999,0.935788,1.004804,23
11/2010,0.9842139999999999,0.961801,1.0030430000000001,22
10/2010,0.968,0.9492940000000001,0.989247,21
9/2010,1.001983,0.973549,1.023183,22
8/2010,1.040168,1.02011,1.058022,22
7/2010,1.054769,1.039377,1.082471,22
6/2010,1.127877,1.082471,1.1668450000000001,22
5/2010,1.129109,1.082339,1.1653440000000002,21
4/2010,1.069534,1.052792,1.082748,20
3/2010,1.067373,1.054885,1.0827360000000001,23
2/2010,1.0721040000000002,1.053919,1.08481,20
1/2010,1.0346819999999999,1.01545,1.0518610000000002,20
12/2009,1.028127,0.997553,1.049583,22
11/2009,1.013012,1.000796,1.031587,21
10/2009,1.021817,1.007,1.043057,22
9/2009,1.0403930000000001,1.022999,1.0665959999999999,22
8/2009,1.0678969999999999,1.0561129999999999,1.081012,21
7/2009,1.07917,1.067707,1.093617,23
6/2009,1.080809,1.063141,1.09835,22
5/2009,1.107813,1.0730600000000001,1.14142,20
4/2009,1.148442,1.129742,1.170292,20
3/2009,1.156366,1.121923,1.191128,22
2/2009,1.165846,1.157211,1.1850530000000001,20
1/2009,1.128601,1.0726959999999999,1.168816,21
12/2008,1.147404,1.0463209999999998,1.215135,21
11/2008,1.190896,1.156762,1.219568,20
10/2008,1.140938,1.117534,1.167251,23
9/2008,1.109709,1.081121,1.138008,22
8/2008,1.082966,1.048157,1.105494,21
7/2008,1.026877,1.0046899999999999,1.047595,23
6/2008,1.037771,1.018523,1.050665,21
5/2008,1.0444440000000002,1.0250620000000001,1.056416,21
4/2008,1.013631,0.991181,1.03906,22
3/2008,1.012712,0.9840840000000001,1.040208,19
2/2008,1.090493,1.04734,1.103425,21
1/2008,1.100949,1.0794219999999999,1.12534,22
12/2007,1.138838,1.1179700000000001,1.157084,19
11/2007,1.12284,1.09762,1.1603,22
10/2007,1.174272,1.160241,1.1875040000000001,23
9/2007,1.185706,1.168864,1.212518,20
8/2007,1.202668,1.1857719999999998,1.216113,23
7/2007,1.207933,1.200072,1.220138,22
6/2007,1.2328540000000001,1.217494,1.245005,21
5/2007,1.22166,1.209769,1.231925,22
4/2007,1.211526,1.201603,1.220897,19
3/2007,1.2176930000000001,1.205178,1.226682,22
2/2007,1.2400209999999998,1.221406,1.253319,20
1/2007,1.2428649999999999,1.2135639999999999,1.255011,22
12/2006,1.208669,1.191584,1.221306,19
11/2006,1.236263,1.2057579999999999,1.256889,22
10/2006,1.260691,1.244249,1.271914,22
9/2006,1.244348,1.230314,1.258067,21
8/2006,1.231374,1.2218440000000002,1.2429860000000001,23
7/2006,1.236826,1.2253399999999999,1.2571700000000001,21
6/2006,1.233406,1.203658,1.25108,22
5/2006,1.2189,1.199938,1.2401520000000001,22
4/2006,1.283521,1.2533299999999998,1.309956,18
3/2006,1.305433,1.29103,1.316986,23
2/2006,1.305118,1.284982,1.3193549999999998,20
1/2006,1.2802950000000002,1.259069,1.3137159999999999,22
12/2005,1.30562,1.282945,1.31974,21
11/2005,1.310905,1.281289,1.324741,22
10/2005,1.289296,1.2736040000000002,1.303343,21
9/2005,1.2646030000000001,1.230579,1.297626,22
8/2005,1.263288,1.2469290000000002,1.2759639999999999,23
7/2005,1.294115,1.279221,1.3066440000000001,21
6/2005,1.265285,1.244401,1.283474,22
5/2005,1.2172129999999999,1.189686,1.2466139999999999,22
4/2005,1.196118,1.180317,1.213193,21
3/2005,1.173891,1.154747,1.200836,21
2/2005,1.191308,1.160709,1.221482,20
1/2005,1.179132,1.143407,1.195017,21
12/2004,1.145973,1.132619,1.1635959999999999,23
11/2004,1.171512,1.136818,1.2055879999999999,22
10/2004,1.2354610000000001,1.197702,1.265511,21
9/2004,1.2630350000000001,1.2510270000000001,1.277432,22
8/2004,1.263883,1.241929,1.284653,22
7/2004,1.245116,1.224732,1.280339,22
6/2004,1.25139,1.237276,1.263808,22
5/2004,1.282748,1.249714,1.306845,21
4/2004,1.2973,1.2658280000000002,1.3138729999999998,20
3/2004,1.278053,1.260746,1.3017379999999998,23
2/2004,1.244293,1.224685,1.270736,20
1/2004,1.241408,1.2199879999999999,1.268973,21
12/2003,1.2654530000000002,1.233492,1.298706,21
11/2003,1.332704,1.290979,1.374475,20
10/2003,1.324454,1.3123200000000002,1.339839,23
9/2003,1.379631,1.3220049999999999,1.421612,22
8/2003,1.3829690000000001,1.34691,1.423624,21
7/2003,1.361017,1.345124,1.387772,23
6/2003,1.321549,1.3015860000000001,1.360287,21
5/2003,1.308835,1.283842,1.349082,21
4/2003,1.379605,1.355982,1.4055,20
3/2003,1.3601729999999999,1.323466,1.3957620000000002,21
2/2003,1.3621370000000002,1.344271,1.374113,20
1/2003,1.376724,1.3498620000000001,1.405609,22
12/2002,1.4420309999999998,1.384953,1.496708,20
11/2002,1.465383,1.444993,1.488743,21
10/2002,1.4932299999999998,1.475935,1.508166,23
9/2002,1.493687,1.461855,1.525236,21
8/2002,1.496972,1.469057,1.518408,22
7/2002,1.474127,1.44244,1.507352,23
6/2002,1.5413629999999998,1.475789,1.57554,20
5/2002,1.589292,1.56003,1.612625,22
4/2002,1.6548150000000001,1.6194950000000001,1.673514,21
3/2002,1.676066,1.6510790000000002,1.708752,20
2/2002,1.698232,1.6808049999999999,1.712749,20
1/2002,1.669645,1.641182,1.7178830000000003,22
12/2001,1.654509,1.6324459999999998,1.6826279999999998,19
11/2001,1.6504849999999998,1.618665,1.6699990000000002,22
10/2001,1.633148,1.602127,1.664341,23
9/2001,1.637367,1.572174,1.7069450000000002,20
8/2001,1.682094,1.649197,1.718475,23
7/2001,1.7590720000000002,1.712044,1.815363,22
6/2001,1.7845919999999997,1.761141,1.799669,21
5/2001,1.7544950000000001,1.726591,1.7931599999999999,22
4/2001,1.7144009999999998,1.689991,1.741855,19
3/2001,1.688816,1.6425290000000001,1.729053,22
2/2001,1.666454,1.629492,1.6925029999999999,20
1/2001,1.629899,1.597062,1.667068,22
12/2000,1.687471,1.6369690000000001,1.7325700000000002,19
11/2000,1.777009,1.7382540000000002,1.8037729999999998,22
10/2000,1.769884,1.731084,1.8284049999999998,22
9/2000,1.7554470000000002,1.7214759999999998,1.786887,21
8/2000,1.715334,1.668826,1.740861,23
7/2000,1.650268,1.6227209999999999,1.6798259999999998,21
6/2000,1.6445009999999998,1.620124,1.6870310000000002,22
5/2000,1.7179080000000002,1.6794529999999999,1.7478310000000001,22
4/2000,1.6626459999999998,1.626383,1.729224,18
3/2000,1.6636009999999999,1.637974,1.683014,23
2/2000,1.6341430000000001,1.599623,1.666563,21
1/2000,1.588932,1.546785,1.643448,21
12/1999,1.584433,1.562555,1.59775,23
11/1999,1.5528030000000002,1.5174040000000002,1.590652,22
10/1999,1.489262,1.4603,1.533531,21
9/1999,1.525348,1.494945,1.552504,22
8/1999,1.509447,1.4814200000000002,1.5345540000000002,22
7/1999,1.5499379999999998,1.493922,1.587515,22
6/1999,1.5371350000000001,1.520543,1.553502,22
5/1999,1.507888,1.489027,1.5247700000000002,21
4/1999,1.496257,1.475108,1.520525,22
3/1999,1.466064,1.450027,1.491115,23
2/1999,1.425833,1.407424,1.4544629999999998,20
1/1999,1.382982,1.356522,1.4162860000000002,21
12/1998,1.360761,1.3339969999999999,1.377999,23
11/1998,1.384309,1.3489959999999999,1.409494,21
10/1998,1.336682,1.293994,1.362007,22
9/1998,1.401661,1.373504,1.44651,22
8/1998,1.494572,1.454,1.509007,21
7/1998,1.513738,1.477492,1.544002,23
6/1998,1.493454,1.474002,1.5239969999999998,22
5/1998,1.4793319999999999,1.4565059999999999,1.498501,21
4/1998,1.5068190000000001,1.483007,1.534502,22
3/1998,1.488204,1.460495,1.521,22
2/1998,1.463575,1.445001,1.481991,20
1/1998,1.4739879999999999,1.447491,1.501507,22
12/1997,1.4376959999999999,1.426503,1.456493,23
11/1997,1.4069,1.386501,1.425499,20
10/1997,1.4515209999999998,1.3969989999999999,1.4804950000000001,23
9/1997,1.472445,1.4491040000000002,1.501603,22
8/1997,1.513336,1.4844030000000001,1.5349030000000001,21
7/1997,1.480848,1.4539030000000002,1.524191,23
6/1997,1.442305,1.432598,1.459502,21
5/1997,1.4329459999999998,1.4014959999999999,1.471904,22
4/1997,1.461653,1.435102,1.476,22
3/1997,1.463873,1.435003,1.488905,21
2/1997,1.453641,1.4247049999999999,1.482304,20
1/1997,1.38886,1.346494,1.432295,23
12/1996,1.3282370000000001,1.2961,1.3525989999999999,22
11/1996,1.274442,1.2599049999999998,1.2983069999999999,21
10/1996,1.258152,1.246202,1.269403,23
9/1996,1.2317719999999999,1.205294,1.257807,21
8/1996,1.202704,1.190101,1.211997,22
7/1996,1.233069,1.1885059999999998,1.2625030000000002,23
6/1996,1.256685,1.246801,1.268203,20
5/1996,1.254402,1.233998,1.2740989999999999,23
4/1996,1.21811,1.192903,1.238796,22
3/1996,1.1959950000000001,1.185901,1.2074989999999999,21
2/1996,1.195077,1.173003,1.218501,21
1/1996,1.178356,1.149499,1.216104,23
12/1995,1.164056,1.1510989999999999,1.177698,21
11/1995,1.142874,1.1321940000000001,1.1666020000000001,22
10/1995,1.145476,1.126201,1.156995,22
9/1995,1.190033,1.146798,1.222602,21
8/1995,1.196382,1.150102,1.2373049999999999,23
7/1995,1.156142,1.144702,1.176698,21
6/1995,1.15814,1.144399,1.183792,22
5/1995,1.1683729999999999,1.128203,1.212005,23
4/1995,1.139686,1.123302,1.1597979999999999,20
3/1995,1.1722219999999999,1.137001,1.2432040000000002,23
2/1995,1.271234,1.2355040000000002,1.2976969999999999,20
1/1995,1.288234,1.265001,1.316492,22
12/1994,1.329387,1.311502,1.3405040000000001,22
11/1994,1.295359,1.247498,1.330802,22
10/1994,1.264653,1.240499,1.297203,21
9/1994,1.291959,1.278,1.329996,22
8/1994,1.318417,1.291992,1.340992,23
7/1994,1.324848,1.293004,1.3515030000000001,21
6/1994,1.3753540000000002,1.326502,1.418004,22
5/1994,1.414168,1.3974950000000002,1.434993,22
4/1994,1.436051,1.4105,1.452004,21
3/1994,1.4289889999999998,1.4105,1.440999,23
2/1994,1.457951,1.431498,1.483005,20
1/1994,1.471096,1.451992,1.486003,21
12/1993,1.4643,1.438008,1.5015020000000001,23
11/1993,1.497454,1.488502,1.507492,22
10/1993,1.441157,1.401999,1.488801,21
9/1993,1.418426,1.3885020000000001,1.473503,22
8/1993,1.497174,1.4680090000000001,1.524297,22
7/1993,1.5144540000000002,1.49901,1.536498,22
6/1993,1.473542,1.4212989999999999,1.518003,22
5/1993,1.448976,1.412496,1.4775,21
4/1993,1.461272,1.417498,1.495501,22
3/1993,1.519534,1.495001,1.5406950000000001,23
2/1993,1.519419,1.49079,1.543795,20
1/1993,1.477489,1.446499,1.504491,21
12/1992,1.421834,1.387499,1.469506,23
11/1992,1.429762,1.3878030000000001,1.456,21
10/1992,1.316932,1.224202,1.374501,22
9/1992,1.275167,1.230494,1.317498,22
8/1992,1.300348,1.250499,1.332501,21
7/1992,1.3334780000000002,1.276506,1.3670010000000001,23
6/1992,1.427418,1.3684969999999999,1.473493,22
5/1992,1.492094,1.461006,1.525495,21
4/1992,1.517844,1.488003,1.543499,22
3/1992,1.508233,1.4824979999999999,1.5299989999999999,22
2/1992,1.45685,1.399997,1.504498,20
1/1992,1.398827,1.345499,1.438502,23
12/1991,1.384932,1.349996,1.427003,22
11/1991,1.436548,1.406007,1.465001,21
10/1991,1.479065,1.450008,1.500493,23
9/1991,1.484643,1.449702,1.5300040000000001,21
8/1991,1.520697,1.493498,1.5549950000000001,22
7/1991,1.5502479999999998,1.5194969999999999,1.584498,23
6/1991,1.5314649999999999,1.495004,1.56149,20
5/1991,1.4547350000000001,1.431498,1.472502,23
4/1991,1.441558,1.4059979999999999,1.4904979999999999,22
3/1991,1.389666,1.3280040000000002,1.459498,21
2/1991,1.267056,1.235,1.3165,20
1/1991,1.2719,1.250502,1.300497,23
12/1990,1.280666,1.2555,1.312006,21
11/1990,1.257182,1.240995,1.290003,22
10/1990,1.2813379999999999,1.268499,1.296,23
9/1990,1.306935,1.283504,1.332495,20
8/1990,1.309926,1.2565,1.3800059999999998,23
7/1990,1.393158,1.353502,1.415993,22
6/1990,1.4252850000000001,1.405994,1.4475040000000001,21
5/1990,1.4195870000000002,1.391,1.4600030000000002,23
4/1990,1.487376,1.457493,1.5055,21
3/1990,1.511772,1.496001,1.528002,22
2/1990,1.48765,1.473001,1.504501,20
1/1990,1.518464,1.481003,1.572497,23
12/1989,1.567593,1.5271489999999999,1.60563,21
11/1989,1.6187559999999999,1.590852,1.642895,22
10/1989,1.631167,1.6045129999999999,1.673016,22
9/1989,1.688079,1.618276,1.721512,21
8/1989,1.6598979999999999,1.592492,1.6931759999999998,23
7/1989,1.6313309999999999,1.607097,1.6636360000000001,21
6/1989,1.7102700000000002,1.671947,1.7676310000000002,22
5/1989,1.727138,1.669007,1.797706,23
4/1989,1.647359,1.630717,1.669007,20
3/1989,1.606818,1.569604,1.6593900000000001,23
2/1989,1.575321,1.550184,1.60158,20
1/1989,1.556345,1.492272,1.588566,22
12/1988,1.479439,1.442281,1.511488,22
11/1988,1.467826,1.438607,1.505596,22
10/1988,1.541833,1.489179,1.585399,21
9/1988,1.576343,1.553915,1.597767,22
8/1988,1.583005,1.5553700000000001,1.608948,23
7/1988,1.53193,1.509716,1.566108,21
6/1988,1.459537,1.426143,1.51027,22
5/1988,1.41029,1.393917,1.440708,22
4/1988,1.382457,1.366362,1.401291,21
3/1988,1.386785,1.367068,1.404868,23
2/1988,1.392191,1.378059,1.405783,21
1/1988,1.341512,1.279117,1.373715,21
12/1987,1.3295059999999999,1.279117,1.3638370000000002,23
11/1987,1.382239,1.341041,1.421055,21
10/1987,1.495476,1.437086,1.537256,22
9/1987,1.501984,1.483308,1.529651,22
8/1987,1.538794,1.496578,1.578352,21
7/1987,1.5354450000000002,1.5106950000000001,1.550641,23
6/1987,1.507361,1.477072,1.5330620000000001,22
5/1987,1.469459,1.445546,1.512246,21
4/1987,1.495207,1.449494,1.5261879999999999,22
3/1987,1.536956,1.505881,1.564331,22
2/1987,1.542115,1.512736,1.572152,20
1/1987,1.5620450000000001,1.4885549999999999,1.622192,22
12/1986,1.664438,1.622064,1.707342,23
11/1986,1.686291,1.646241,1.726552,20
10/1986,1.6418130000000002,1.614751,1.7158509999999998,23
9/1986,1.6521310000000002,1.614731,1.6840830000000002,22
8/1986,1.662152,1.6428459999999998,1.690541,21
7/1986,1.7455180000000001,1.6809830000000001,1.79135,23
6/1986,1.8406900000000002,1.7958020000000001,1.929915,21
5/1986,1.851677,1.800116,1.915914,22
4/1986,1.902925,1.8151650000000001,2.007445,22
3/1986,1.909312,1.8691229999999999,1.9688419999999998,21
2/1986,1.9550450000000001,1.864972,2.046482,20
1/1986,2.068458,2.016416,2.1003220000000002,23
12/1985,2.103878,2.072674,2.1257099999999998,22
11/1985,2.1290009999999997,2.078954,2.15646,21
10/1985,2.167821,2.130371,2.201034,23
9/1985,2.3357349999999997,2.178972,2.4479349999999998,21
8/1985,2.291738,2.250102,2.361895,22
7/1985,2.415771,2.282207,2.557682,23
6/1985,2.571006,2.517848,2.609175,20
5/1985,2.6154330000000003,2.551573,2.7316290000000003,23
4/1985,2.592847,2.478785,2.67435,22
3/1985,2.811782,2.618967,2.917341,21
2/1985,2.7947330000000004,2.689243,2.9274259999999996,20
1/1985,2.652809,2.593081,2.684622,23
12/1984,2.559038,2.534574,2.593081,21
11/1984,2.461703,2.397566,2.545044,22
10/1984,2.523188,2.4795409999999998,2.572893,23
9/1984,2.4974380000000003,2.423433,2.567925,20
8/1984,2.4188650000000003,2.3838209999999997,2.472493,23
7/1984,2.406447,2.343611,2.464495,22
6/1984,2.278982,2.222426,2.339607,21
5/1984,2.265942,2.242079,2.2888450000000002,23
4/1984,2.1875169999999997,2.147198,2.242079,21
3/1984,2.147873,2.108187,2.177238,22
2/1984,2.2075150000000003,2.1582790000000003,2.241779,21
1/1984,2.233964,2.180149,2.252863,22
12/1983,2.196075,2.158055,2.214977,22
11/1983,2.1691380000000002,2.149563,2.184439,22
10/1983,2.1099930000000002,2.087997,2.136327,21
9/1983,2.163195,2.1284389999999997,2.188161,22
8/1983,2.162455,2.1285990000000004,2.193724,23
7/1983,2.116633,2.0874200000000003,2.127908,21
6/1983,2.111138,2.076936,2.140505,22
5/1983,2.0592799999999998,2.03111,2.09063,22
4/1983,2.0574619999999997,2.043111,2.081582,21
3/1983,2.06144,2.0374790000000003,2.08655,23
2/1983,2.015319,1.983977,2.0444139999999997,20
1/1983,1.967542,1.9169740000000002,2.033146,21
12/1982,2.0488560000000002,1.990161,2.1151009999999997,23
11/1982,2.197075,2.136219,2.231345,22
10/1982,2.1702060000000003,2.125968,2.21505,21
9/1982,2.135814,2.085115,2.180196,22
8/1982,2.1076490000000003,2.044921,2.160113,22
7/1982,2.094416,2.025316,2.141458,22
6/1982,2.076007,2.020146,2.141628,22
5/1982,1.948203,1.891952,1.9938790000000002,21
4/1982,1.961784,1.9336779999999998,1.9819490000000002,22
3/1982,1.8867669999999999,1.84126,1.941318,23
2/1982,1.890596,1.861244,1.922627,20
1/1982,1.8415419999999998,1.7870400000000002,1.8677150000000002,21
12/1981,1.8138189999999998,1.776156,1.857259,23
11/1981,1.784441,1.7587409999999999,1.821,21
10/1981,1.884857,1.832634,1.9765759999999999,22
9/1981,2.0268990000000002,1.9177959999999998,2.160689,22
8/1981,2.167481,2.119176,2.2101919999999997,21
7/1981,2.0958069999999998,2.062896,2.138395,23
6/1981,2.071223,2.025191,2.140777,22
5/1981,2.0611650000000004,2.020898,2.084463,21
4/1981,1.9717189999999998,1.9123419999999998,2.020898,22
3/1981,1.924841,1.862784,1.998896,22
2/1981,1.945803,1.89009,2.058259,20
1/1981,1.816397,1.750068,1.924448,22
12/1980,1.7807509999999998,1.751195,1.8343,23
11/1980,1.726795,1.692252,1.755669,20
10/1980,1.659503,1.630563,1.718143,23
9/1980,1.639143,1.625801,1.660353,22
8/1980,1.651544,1.6307209999999999,1.6679599999999999,21
7/1980,1.606646,1.583821,1.653636,23
6/1980,1.632483,1.6132469999999999,1.660086,21
5/1980,1.6629599999999998,1.6417830000000002,1.6809830000000001,22
4/1980,1.763881,1.664596,1.8742889999999999,22
3/1980,1.761655,1.7105569999999999,1.8396169999999998,21
2/1980,1.6375959999999998,1.610344,1.6910450000000001,21
1/1980,1.593199,1.571376,1.62409,23
12/1979,1.600178,1.562592,1.6206129999999999,21
11/1979,1.6475990000000003,1.6060159999999999,1.6708450000000001,22
10/1979,1.627509,1.546993,1.6779389999999998,23
9/1979,1.614395,1.55303,1.657101,20
8/1979,1.6563150000000002,1.645231,1.661014,23
7/1979,1.6468740000000002,1.625586,1.6634240000000002,22
6/1979,1.700939,1.642634,1.7343169999999999,21
5/1979,1.7272889999999999,1.7111630000000002,1.7415759999999998,23
4/1979,1.715352,1.702262,1.726853,21
3/1979,1.6804139999999999,1.669731,1.6921259999999998,22
2/1979,1.6744709999999998,1.6563459999999999,1.7094779999999998,20
1/1979,1.666929,1.609756,1.7023220000000001,23
12/1978,1.6738259999999998,1.62132,1.7410619999999999,21
11/1978,1.668922,1.5158120000000002,1.7579470000000001,22
10/1978,1.538222,1.484867,1.5947879999999999,22
9/1978,1.571085,1.4571209999999999,1.630047,21
8/1978,1.6665279999999998,1.573153,1.732492,23
7/1978,1.801563,1.7429130000000002,1.840691,21
6/1978,1.8842740000000002,1.854271,1.9158119999999998,22
5/1978,1.9621220000000001,1.897056,1.9910869999999998,23
4/1978,1.9012740000000001,1.8301919999999998,1.969453,20
3/1978,1.898622,1.781753,1.977324,23
2/1978,1.9045490000000003,1.7846090000000001,1.9854580000000002,20
1/1978,1.989343,1.919497,2.047619,22
12/1977,2.0747709999999997,2.00438,2.146777,22
11/1977,2.1987330000000003,2.149705,2.2256560000000003,22
10/1977,2.2783889999999998,2.229631,2.3371880000000003,21
9/1977,2.375341,2.3373180000000002,2.398222,22
8/1977,2.406727,2.376026,2.44068,23
7/1977,2.411834,2.385015,2.462445,21
6/1977,2.4878880000000003,2.460276,2.505093,22
5/1977,2.518507,2.50372,2.5289040000000003,22
4/1977,2.525856,2.512221,2.541489,21
3/1977,2.551193,2.538478,2.567299,23
2/1977,2.519645,2.504238,2.55762,20
1/1977,2.488467,2.440355,2.530141,21
12/1976,2.449,2.430704,2.455202,23
11/1976,2.439766,2.4274720000000003,2.444702,22
10/1976,2.445025,2.4295709999999997,2.458149,21
9/1976,2.4728060000000003,2.4489900000000002,2.4837599999999997,22
8/1976,2.478612,2.464152,2.4967099999999998,22
7/1976,2.483066,2.467076,2.510127,22
6/1976,2.467293,2.398945,2.503859,22
5/1976,2.484914,2.43844,2.523218,21
4/1976,2.5272189999999997,2.506684,2.5407919999999997,22
3/1976,2.564957,2.5340130000000003,2.59289,23
2/1976,2.568321,2.547645,2.5954080000000004,20
1/1976,2.6037619999999997,2.595552,2.621152,22
12/1975,2.633684,2.617809,2.677362,23
11/1975,2.651657,2.621469,2.678764,20
10/1975,2.663945,2.621713,2.731272,23
9/1975,2.707021,2.6758439999999997,2.7557709999999997,22
8/1975,2.6820310000000003,2.666356,2.703471,21
7/1975,2.608997,2.508104,2.710393,23
6/1975,2.493457,2.483765,2.510091,21
5/1975,2.505946,2.47095,2.560125,22
4/1975,2.5564459999999998,2.514175,2.577991,22
3/1975,2.4803040000000003,2.3994310000000003,2.52422,21
2/1975,2.476814,2.393812,2.5529290000000002,20
1/1975,2.526379,2.435013,2.572977,23
12/1974,2.606631,2.517331,2.743882,22
11/1974,2.751359,2.609756,2.862146,21
10/1974,2.898836,2.8447150000000003,2.95333,23
9/1974,2.998773,2.954009,3.028759,21
8/1974,2.981403,2.934434,3.0074549999999998,22
7/1974,2.964439,2.9151290000000003,3.002933,23
6/1974,2.990912,2.939681,3.03939,20
5/1974,2.909984,2.795787,2.987243,23
4/1974,3.02564,2.925284,3.07443,22
3/1974,3.0807849999999997,3.00355,3.159534,21
2/1974,3.1749419999999997,3.057126,3.27205,20
1/1974,3.357096,3.250752,3.4233059999999997,23
12/1973,3.198484,3.1731,3.250752,21
11/1973,3.162312,3.0839,3.215548,22
10/1973,3.025611,2.998123,3.094304,23
9/1973,3.01402,2.983446,3.035825,20
8/1973,2.969395,2.834146,3.063584,23
7/1973,2.8154939999999997,2.711995,2.890156,22
6/1973,3.052658,2.935835,3.096019,21
5/1973,3.171241,3.08009,3.248575,23
4/1973,3.2389919999999996,3.228262,3.2637400000000003,21
3/1973,3.176374,3.129139,3.24498,22
2/1973,3.4239900000000003,3.153633,3.604252,20
1/1973,3.733117,3.617172,3.771839,23
