Month,Average USD/JPY=,Min USD/JPY=,Max USD/JPY=,Nb of working days
8/2011,76.995641,76.45298299999999,79.58394799999999,23
7/2011,79.402519,77.552595,81.435192,21
6/2011,80.44857900000001,79.819277,81.281233,22
5/2011,81.174937,79.789388,82.074064,22
4/2011,83.391242,81.204576,85.271856,19
3/2011,81.724659,78.8489,83.071578,23
2/2011,82.625214,81.395349,83.797187,20
1/2011,82.628231,81.43542099999999,83.550652,21
12/2010,83.29090500000001,81.312678,84.355758,23
11/2010,82.51302199999999,80.382019,84.23094499999999,22
10/2010,81.794824,80.685625,83.30914399999999,21
9/2010,84.376573,83.294256,85.742726,22
8/2010,85.332527,84.180477,86.64422900000001,22
7/2010,87.54186899999999,86.444581,88.656181,22
6/2010,90.919565,88.656181,92.712749,22
5/2010,92.150954,89.609752,94.908697,21
4/2010,93.48913,91.94461,94.48742,20
3/2010,90.67852099999999,88.425519,93.426812,23
2/2010,90.2073,89.108327,91.84851,20
1/2010,91.31662,89.50398,93.43515699999999,20
12/2009,89.81405699999999,86.917872,92.433708,22
11/2009,89.170045,86.380883,90.982996,21
10/2009,90.376697,88.369573,92.046524,22
9/2009,91.44315,89.510346,93.097667,22
8/2009,94.838413,93.259529,97.176454,21
7/2009,94.473409,92.230775,96.857264,23
6/2009,96.59915500000001,94.859353,98.463868,22
5/2009,96.60929499999999,94.05239,99.46305699999999,20
4/2009,98.73546,96.274631,100.785418,20
3/2009,97.835667,94.850413,99.33094399999999,22
2/2009,92.54225799999999,89.155875,98.051948,20
1/2009,90.421242,88.555145,94.389439,21
12/2008,91.161063,88.409962,93.924492,21
11/2008,96.819209,94.667513,99.336973,20
10/2008,100.120255,92.89727099999999,106.206946,23
9/2008,106.617581,103.78495799999999,108.852301,22
8/2008,109.276898,107.51252099999999,110.46235300000001,21
7/2008,106.826127,104.267372,108.26981,23
6/2008,106.90665200000001,104.534086,108.28325900000002,21
5/2008,104.33583,102.736447,105.58421499999999,21
4/2008,102.580483,100.270866,104.651907,22
3/2008,100.878621,96.7026,103.74440600000001,19
2/2008,107.116111,104.193314,108.19896100000001,21
1/2008,107.810744,105.324551,111.54003300000001,22
12/2007,112.259666,109.79580800000001,114.508129,19
11/2007,110.94946200000001,107.64421100000001,115.29501499999999,22
10/2007,115.94166799999999,113.93477299999999,117.756221,23
9/2007,115.007921,113.548387,115.801056,20
8/2007,116.74736899999999,113.527575,119.25474799999999,23
7/2007,121.58708700000001,118.295629,123.434403,22
6/2007,122.632672,121.120403,124.06071000000001,21
5/2007,120.80411200000002,119.700546,121.690329,22
4/2007,118.882925,117.724076,119.67658899999999,19
3/2007,117.231931,115.363449,118.394271,22
2/2007,120.546543,118.42404099999999,121.904909,20
1/2007,120.449895,118.12137,122.049377,22
12/2006,117.18383700000001,114.575051,119.157175,19
11/2006,117.312999,115.736351,118.44591399999999,22
10/2006,118.670875,117.299678,119.612378,22
9/2006,117.08323700000001,115.90163899999999,118.01816000000001,21
8/2006,115.941304,114.75821,117.254349,23
7/2006,115.66479199999999,113.840966,117.697484,21
6/2006,114.72296499999999,111.637598,116.529651,22
5/2006,111.758494,109.3619,114.05654399999999,22
4/2006,117.025997,114.293691,118.73605900000001,18
3/2006,117.274318,115.878101,119.05720500000001,23
2/2006,117.910723,116.241984,118.94003000000001,20
1/2006,115.52504499999999,113.51440600000001,118.01116200000001,22
12/2005,118.57927099999999,116.07633999999999,121.05575800000001,21
11/2005,118.447248,116.60559599999999,119.725397,22
10/2005,114.90481399999999,113.488142,116.144057,21
9/2005,111.029225,109.020577,113.29446100000001,22
8/2005,110.62536599999999,109.339722,112.104795,23
7/2005,111.93808100000001,110.94608999999998,113.03158400000001,21
6/2005,108.692609,106.73992700000001,110.775719,22
5/2005,106.66044,104.385085,108.264793,22
4/2005,107.312797,105.147797,108.79163700000001,21
3/2005,105.18180900000002,104.107036,107.494399,21
2/2005,104.92693999999999,103.590843,106.40995500000001,20
1/2005,103.36099200000001,102.040504,104.590909,21
12/2004,103.781079,102.322293,105.822151,23
11/2004,104.768539,102.700263,106.78820800000001,22
10/2004,108.89041,106.09248600000001,111.24298799999998,21
9/2004,110.08679099999999,109.207392,111.390353,22
8/2004,110.497178,109.523424,111.711269,22
7/2004,109.32256100000001,108.169513,112.256777,22
6/2004,109.439853,107.50701200000002,111.393751,22
5/2004,112.015272,108.799274,114.827995,21
4/2004,107.717074,103.75,110.65449,20
3/2004,108.56468000000001,103.869437,112.172224,23
2/2004,106.58261599999999,105.36828999999999,109.61105800000001,20
1/2004,106.341606,105.83010300000001,107.23516299999999,21
12/2003,107.801899,106.927949,109.335219,21
11/2003,109.24939499999999,108.30429199999999,110.280781,20
10/2003,109.580249,108.01951399999999,111.114949,23
9/2003,114.961343,110.538963,117.81333300000001,22
8/2003,118.82998500000001,116.46380500000001,120.538992,21
7/2003,118.70160700000001,117.33368700000001,119.938704,23
6/2003,118.37244299999999,117.461692,120.171524,21
5/2003,117.27902399999999,115.945191,118.96951299999999,21
4/2003,119.94968999999999,118.262786,120.96054,20
3/2003,118.61084199999999,116.56402800000001,120.904275,21
2/2003,119.377724,116.84531499999999,121.46459899999999,20
1/2003,118.73841200000001,117.668044,120.36233999999999,22
12/2002,122.034356,118.613522,125.292763,20
11/2002,121.490168,119.39561499999999,123.008582,21
10/2002,123.915857,122.370956,125.225225,23
9/2002,120.708722,117.28556999999999,123.24821200000001,21
8/2002,118.95599399999999,116.566907,120.879348,22
7/2002,118.045675,115.710477,120.461476,23
6/2002,123.329232,118.496241,125.61362700000001,20
5/2002,126.36475300000001,123.477333,128.683368,22
4/2002,130.74577299999999,128.003983,133.394036,21
3/2002,131.021657,127.884506,133.298767,20
2/2002,133.594942,132.186817,134.813273,20
1/2002,132.600256,130.868885,134.538611,22
12/2001,127.25888799999998,123.484594,131.361215,19
11/2001,122.362743,120.653143,124.047754,22
10/2001,121.280899,119.671233,123.253459,23
9/2001,118.77828400000001,116.5,121.93217299999999,20
8/2001,121.4507,118.63944099999999,124.588862,23
7/2001,124.573848,123.466697,126.01383600000001,22
6/2001,122.24274799999999,118.683652,124.720949,21
5/2001,121.814769,119.103774,123.68123200000001,22
4/2001,123.753905,121.631561,126.34518899999999,19
3/2001,121.346998,117.294206,125.384964,22
2/2001,116.17887900000001,114.835872,117.592593,20
1/2001,116.78348700000001,114.249738,118.710225,22
12/2000,112.109344,110.58928799999998,114.905965,19
11/2000,108.90605,107.14203300000001,111.16643,22
10/2000,108.452308,107.53931499999999,109.207831,22
9/2000,106.75878200000001,105.12909199999999,108.317171,21
8/2000,108.12484199999999,106.409249,109.62867,23
7/2000,107.90385400000001,105.95175400000001,109.31515700000001,21
6/2000,106.10918999999998,104.23881899999999,108.69238999999999,22
5/2000,108.279072,106.635324,109.818426,22
4/2000,105.52998600000001,103.833699,107.297744,18
3/2000,106.38179,103.140375,108.254888,23
2/2000,109.449633,107.744593,111.321903,21
1/2000,105.09912,101.833499,106.853233,21
12/1999,102.575551,101.61562099999999,103.666069,23
11/1999,104.700703,102.010498,106.138729,22
10/1999,106.02613400000001,104.008719,107.849323,21
9/1999,107.010158,103.97890699999999,111.159489,22
8/1999,113.251455,109.268892,115.858244,22
7/1999,119.538746,115.19543700000001,122.49067,22
6/1999,120.764182,118.474317,122.15881599999999,22
5/1999,122.050127,119.869676,124.50630100000001,21
4/1999,119.721926,117.86586499999999,121.419271,22
3/1999,119.639197,117.26065,123.246825,23
2/1999,116.716847,111.899091,121.55203799999998,20
1/1999,113.19460500000001,109.196992,116.040056,21
12/1998,117.144498,113.82044099999999,122.070175,23
11/1998,120.34614099999999,115.09976599999999,123.86955,21
10/1998,120.77503600000001,113.870276,135.240771,22
9/1998,134.571939,130.720011,138.390391,22
8/1998,144.679549,141.900225,147.229191,21
7/1998,140.62901200000002,138.200196,144.25968899999998,23
6/1998,140.081734,134.679854,146.32943999999998,22
5/1998,134.878018,132.129941,138.599877,21
4/1998,132.228814,129.790387,134.900194,22
3/1998,128.99993700000002,125.16909799999999,132.819789,22
2/1998,125.689921,122.800312,128.829119,20
1/1998,129.52686699999998,125.270427,133.500411,22
12/1997,129.509902,127.119372,131.15015,23
11/1997,125.18188500000001,120.330408,127.65936599999999,20
10/1997,120.96100600000001,120.100025,122.120245,23
9/1997,120.725384,118.80928300000001,122.66993300000001,22
8/1997,117.81921299999999,115.79991399999999,119.480557,21
7/1997,115.235649,112.460552,118.869348,23
6/1997,114.286681,111.31991200000002,116.549807,21
5/1997,119.119025,113.64991299999998,126.799718,22
4/1997,125.555351,122.399555,126.799718,22
3/1997,122.669101,120.76064,124.14988400000001,21
2/1997,122.92909399999999,120.81013,124.220193,20
1/1997,117.76466,115.369551,121.94984199999999,23
12/1996,113.911394,112.169979,116.400769,22
11/1996,112.26710200000001,111.02001899999999,113.97006100000002,21
10/1996,112.357758,111.120117,114.449852,23
9/1996,109.870911,108.95004399999999,111.620352,21
8/1996,107.865047,106.879851,108.78952199999999,22
7/1996,109.24383799999998,106.819833,110.98023,23
6/1996,108.86099899999999,107.890212,109.81951799999999,20
5/1996,106.327634,104.319921,108.850029,23
4/1996,107.20053200000001,104.319921,108.670507,22
3/1996,105.885116,105.030272,106.989768,21
2/1996,105.61657,103.830127,106.929572,21
1/1996,105.52357099999999,103.169893,107.120177,23
12/1995,101.869461,100.769879,103.169893,21
11/1995,101.847809,100.35009000000001,103.800067,22
10/1995,100.731317,99.829753,102.119979,22
9/1995,100.432867,97.620588,104.280361,21
8/1995,94.612133,88.41944000000001,98.79995600000001,23
7/1995,87.23088,84.670303,88.849891,21
6/1995,84.555966,83.849631,85.579625,22
5/1995,85.024827,82.799798,87.45009399999999,23
4/1995,83.841584,81.13041899999999,86.55004,20
3/1995,90.601336,87.199588,96.770057,23
2/1995,98.239413,96.720302,99.669679,20
1/1995,99.732727,98.599953,101.149998,22
12/1994,100.14858100000001,99.069905,100.56987099999999,22
11/1994,98.002763,96.41944699999999,99.00020500000001,22
10/1994,98.47102199999999,96.799844,100.69991,21
9/1994,98.83365699999999,97.869506,100.150118,22
8/1994,99.886705,97.950022,101.28025,23
7/1994,98.58234300000001,97.369956,100.529663,21
6/1994,102.646814,99.000125,105.360647,22
5/1994,103.76688399999999,101.250118,104.969917,22
4/1994,103.327049,100.950253,105.11993400000001,21
3/1994,105.093329,102.850239,106.529953,23
2/1994,106.310547,102.86984,108.850141,20
1/1994,111.38613400000001,109.019931,113.10019399999999,21
12/1993,109.95955,107.669715,111.80008400000001,23
11/1993,107.854021,105.649588,109.36958999999999,22
10/1993,106.958025,105.049862,108.719594,21
9/1993,105.391873,103.580584,106.449525,22
8/1993,103.803775,101.150309,105.150038,22
7/1993,107.59308899999999,104.299483,109.75023700000001,22
6/1993,107.304622,105.350679,111.54993999999999,22
5/1993,110.31433899999999,107.20031499999999,111.85023000000001,21
4/1993,112.30051999999999,109.39961699999999,114.349902,22
3/1993,116.978721,114.95026000000001,118.619945,23
2/1993,120.90744699999999,116.69949799999999,124.85045900000001,20
1/1993,125.05277099999999,123.35007,125.969563,21
12/1992,123.99298700000001,122.82060800000001,124.75018600000001,23
11/1992,123.88052900000001,122.65003999999999,124.800242,21
10/1992,121.16819699999999,119.220505,123.320388,22
9/1992,122.66760900000001,119.549755,124.64955800000001,22
8/1992,126.300924,123.399588,127.870625,21
7/1992,125.688681,123.800099,127.55008400000001,23
6/1992,126.91548799999998,124.850219,128.14998300000002,22
5/1992,130.82321299999998,128.25058,133.599502,21
4/1992,133.434685,132.149908,134.46994899999999,22
3/1992,132.875089,129.550179,134.169176,22
2/1992,127.565603,125.39998600000001,129.81951899999999,20
1/1992,125.151675,123.10006000000001,128.15026,23
12/1991,128.066785,124.949848,129.899957,22
11/1991,129.63048600000002,127.800604,130.350109,21
10/1991,130.710026,129.35003700000001,133.249647,23
9/1991,134.550988,132.79949,136.819824,21
8/1991,136.825919,136.000334,137.899871,22
7/1991,137.90391200000002,136.70013600000001,139.14974099999998,23
6/1991,139.86545800000002,138.019336,141.850043,20
5/1991,138.067781,137.349823,139.249381,23
4/1991,137.242536,134.899809,140.44976599999998,22
3/1991,137.310958,134.369473,140.44976599999998,21
2/1991,130.373455,127.54965700000001,133.3995,20
1/1991,133.71655900000002,131.150161,136.849643,23
12/1990,133.855728,131.449587,136.57980700000002,21
11/1990,128.992193,127.21980400000001,133.349702,22
10/1990,129.797831,124.95019199999999,137.149878,23
9/1990,138.717491,135.449916,143.89953500000001,20
8/1990,147.519992,143.05023899999998,151.150207,23
7/1990,149.15589599999998,146.550514,151.629581,22
6/1990,153.785213,152.19962900000002,155.650273,21
5/1990,153.810891,149.499636,159.149293,23
4/1990,158.390939,156.950435,159.869596,21
3/1990,153.19806699999998,148.949414,158.499569,22
2/1990,145.580979,144.370022,148.879987,20
1/1990,144.94093999999998,142.730463,146.17073,23
12/1989,143.611349,141.677149,144.517974,21
11/1989,143.58013300000002,142.646473,144.535112,22
10/1989,142.12061599999998,139.591078,144.334715,22
9/1989,145.174348,139.217586,147.5,21
8/1989,141.249727,136.42515600000002,144.625599,23
7/1989,140.533841,137.407953,142.65033400000002,21
6/1989,144.009306,139.90684299999998,151.014064,22
5/1989,137.83590900000002,132.695161,143.281027,23
4/1989,132.069783,130.927546,132.86117,20
3/1989,130.30249799999999,127.812174,132.935393,23
2/1989,127.701089,125.727989,129.885377,20
1/1989,127.03237800000001,123.779417,129.836635,22
12/1988,123.615549,121.28873200000001,125.594356,22
11/1988,123.174428,120.98661000000001,125.594946,22
10/1988,129.031436,124.66690200000001,133.890283,21
9/1988,134.43108999999998,133.184116,136.909024,22
8/1988,133.707458,132.571023,136.448326,23
7/1988,133.08738200000002,130.74167,135.008938,21
6/1988,127.196178,124.98184499999999,133.413919,22
5/1988,124.725675,124.08908400000001,125.43046399999999,22
4/1988,124.998402,123.935893,126.761513,21
3/1988,127.174456,124.24560100000001,129.32926799999998,23
2/1988,129.23974199999998,128.34663600000002,130.541571,21
1/1988,127.21838600000001,121.51363799999999,130.383275,21
12/1987,128.23463999999998,121.51363799999999,133.408633,23
11/1987,135.324063,132.206952,137.797357,21
10/1987,143.343953,138.54748600000002,146.964143,22
9/1987,143.229484,141.109799,146.166667,22
8/1987,147.645525,142.43348999999998,152.194534,21
7/1987,150.248765,146.59694299999998,152.91170400000001,23
6/1987,144.467267,141.937277,147.098071,22
5/1987,140.507903,138.190364,144.07744,21
4/1987,142.917926,137.76657600000001,146.983105,22
3/1987,151.415226,146.28038899999999,153.949018,22
2/1987,153.495171,152.249576,154.927235,20
1/1987,154.860579,150.77707,160.0,22
12/1986,162.26923200000002,159.035554,163.954619,23
11/1986,162.86994199999998,160.667461,164.367816,20
10/1986,156.327132,154.125,164.030147,23
9/1986,154.664649,152.698048,156.61961100000002,22
8/1986,154.096102,153.052239,155.808656,21
7/1986,158.62453100000002,153.914002,163.401869,23
6/1986,167.620251,163.952274,175.092071,21
5/1986,166.84966,160.755276,173.171097,22
4/1986,175.049839,167.259486,181.04111699999999,22
3/1986,178.598838,175.134503,180.88495600000002,21
2/1986,184.55301699999998,178.75354099999998,192.061979,20
1/1986,200.29578,193.222806,203.091431,23
12/1985,202.68856200000002,200.594947,204.481227,22
11/1985,203.943295,200.783085,209.722557,21
10/1985,214.814032,211.2717,217.08958199999998,23
9/1985,236.73910299999997,216.273795,243.468635,21
8/1985,237.18806099999998,235.7022,239.53118500000002,22
7/1985,241.42610499999998,235.990037,248.393656,23
6/1985,248.87877000000003,246.902219,250.177706,20
5/1985,251.58325499999998,249.393075,254.92349900000002,23
4/1985,251.540621,247.569589,255.20032400000002,22
3/1985,258.399539,251.565677,261.968594,21
2/1985,260.20018799999997,256.15664100000004,262.80581,20
1/1985,253.758022,251.036683,255.47381099999998,23
12/1984,247.775761,246.227401,251.036683,21
11/1984,243.01291,239.918066,247.110934,22
10/1984,246.743635,243.560209,249.02535699999999,23
9/1984,245.07454199999998,242.302879,247.545988,20
8/1984,242.33298399999998,240.62054500000002,245.93591899999998,23
7/1984,242.756627,238.456948,246.498288,22
6/1984,233.16297200000002,228.897469,238.41189,21
5/1984,230.459206,226.54439399999998,233.17757000000003,23
4/1984,224.950794,223.444444,226.54439399999998,21
3/1984,225.390121,222.532866,233.43497799999997,22
2/1984,233.604967,232.82550899999998,234.575136,21
1/1984,233.621819,230.78613700000002,234.704904,22
12/1983,234.189389,231.32059500000003,236.346564,22
11/1983,234.91624,233.00216,237.10119300000002,22
10/1983,232.81675299999998,231.207903,234.253898,21
9/1983,242.466437,235.94993300000002,246.60273999999998,22
8/1983,244.293054,241.85767099999998,247.083333,23
7/1983,240.352217,238.53314500000002,241.415525,21
6/1983,240.04759199999998,237.35849100000001,243.46099300000003,22
5/1983,234.763035,231.145833,238.315989,22
4/1983,237.448114,235.75084500000003,238.94633199999998,21
3/1983,237.779223,235.317265,240.02011099999999,23
2/1983,235.91356800000003,232.23517999999999,241.23360899999997,20
1/1983,232.72541800000002,227.137981,241.883846,21
12/1982,241.605633,232.029412,248.40462999999997,23
11/1982,264.716095,249.41993100000002,278.35586800000004,22
10/1982,270.987332,262.975815,277.94261,21
9/1982,262.585421,255.4158,269.580902,22
8/1982,258.634407,250.963731,264.548319,22
7/1982,254.607594,249.35064900000003,259.09325099999995,22
6/1982,251.01123399999997,243.126602,258.46313599999996,22
5/1982,236.60095099999998,232.111392,242.64873300000002,21
4/1982,244.18282599999998,235.74532599999998,248.10838399999997,22
3/1982,240.793183,233.72313799999998,247.49226000000002,23
2/1982,235.37729700000003,231.180247,240.68238799999997,20
1/1982,224.18958700000002,217.40146000000001,230.87215099999997,21
12/1981,218.603252,215.191841,222.292994,23
11/1981,223.29466499999998,213.932039,231.29533700000002,21
10/1981,231.31407400000003,226.452282,235.46748,22
9/1981,229.425498,224.28499700000003,232.62481499999998,22
8/1981,233.479311,226.923077,245.08076400000002,21
7/1981,232.14694100000003,227.688679,239.504373,23
6/1981,223.80755200000002,219.615385,228.38983100000002,22
5/1981,220.25896699999998,215.0,224.628654,21
4/1981,214.81364,211.399417,217.894212,22
3/1981,208.705727,206.676677,211.78054900000004,22
2/1981,205.368235,201.490978,209.184676,20
1/1981,201.940441,198.453094,205.704568,22
12/1980,209.111974,202.271554,218.28667400000003,23
11/1980,212.882023,210.18082200000003,216.37078599999998,20
10/1980,209.045043,206.154721,213.40909100000002,23
9/1980,214.44258399999998,210.738802,217.785933,22
8/1980,223.92953599999998,217.63990299999998,227.17818599999998,21
7/1980,220.759039,217.431421,227.40127400000003,23
6/1980,217.99173199999998,215.365854,223.52351099999998,21
5/1980,228.113398,219.24364500000001,239.47089900000003,22
4/1980,250.18561699999998,237.827815,260.713814,22
3/1980,248.261321,246.187845,249.9666,21
2/1980,243.861834,239.61512000000002,250.501767,21
1/1980,237.677148,233.32878599999998,240.473208,23
12/1979,239.673798,232.271819,248.37818199999998,21
11/1979,244.352925,234.944481,251.242857,22
10/1979,230.00091899999998,221.910748,238.18062,23
9/1979,222.12763999999999,220.30395099999998,223.775447,20
8/1979,217.7105,215.77698700000002,221.475212,23
7/1979,216.23610699999998,214.017804,218.75592400000002,22
6/1979,218.783691,214.18266400000002,221.398844,21
5/1979,218.187954,212.794613,225.32621600000002,23
4/1979,215.89214500000003,211.34831499999999,222.054874,21
3/1979,206.30106899999998,203.065134,209.489624,22
2/1979,200.305081,196.687966,202.8,20
1/1979,197.262452,193.205128,200.928225,23
12/1978,195.888825,192.666317,202.48953999999998,21
11/1978,191.333127,179.141414,197.677287,22
10/1978,183.79629599999998,177.10041,188.775012,22
9/1978,189.938206,187.80934,192.20841299999998,21
8/1978,188.394057,183.103939,193.480345,23
7/1978,199.513293,188.921795,203.391003,21
6/1978,214.099014,204.463054,221.33403900000002,22
5/1978,225.94291299999998,222.42456299999998,229.28533,23
4/1978,221.502923,217.908497,227.96934900000002,20
3/1978,231.462133,221.432477,238.53919199999999,23
2/1978,239.97216400000002,236.85432400000002,242.13958799999997,20
1/1978,240.89765899999998,236.25429599999998,242.34960299999997,22
12/1977,240.970512,237.04075899999998,243.47443700000002,22
11/1977,244.58252400000003,238.799571,248.596588,22
10/1977,254.70680499999997,249.23416,261.491178,21
9/1977,266.729604,263.101482,267.875289,22
8/1977,266.460586,265.002875,267.71527000000003,23
7/1977,264.60963300000003,263.174238,267.03196299999996,21
6/1977,272.806813,266.894977,277.577895,22
5/1977,277.36373,276.131687,278.51851899999997,22
4/1977,275.059771,270.204545,278.414563,21
3/1977,280.07914700000003,276.145833,282.387707,23
2/1977,284.678208,281.73042999999996,288.161808,20
1/1977,290.773953,288.00473700000003,292.917706,21
12/1976,294.618223,291.64603999999997,297.736549,23
11/1976,294.88886099999996,293.661202,296.340111,22
10/1976,290.773709,286.318875,294.214067,21
9/1976,287.145824,285.258964,288.672769,22
8/1976,290.422104,286.906804,293.033449,22
7/1976,294.506534,292.613636,296.947005,22
6/1976,298.978198,295.68965499999996,300.347826,22
5/1976,298.859769,297.532315,300.150637,21
4/1976,298.92309,297.385698,300.070964,22
3/1976,300.322251,299.064327,301.525822,23
2/1976,301.365302,300.059137,303.413773,20
1/1976,304.489592,303.29836800000004,305.709241,22
12/1975,305.503218,304.456079,306.440281,23
11/1975,302.206506,301.057579,303.021499,20
10/1975,302.094604,300.818713,303.271889,23
9/1975,299.449339,297.463977,303.35990899999996,22
8/1975,297.792211,297.177419,298.45711,21
7/1975,296.00438199999996,294.423792,297.86127200000004,23
6/1975,293.312742,290.85252,296.649746,21
5/1975,291.132407,290.08515800000004,292.05753599999997,22
4/1975,291.928226,290.308904,294.526445,22
3/1975,287.502341,283.818971,291.848164,21
2/1975,291.489179,285.146053,297.060703,20
1/1975,299.442719,295.207668,301.26342400000004,23
12/1974,299.958486,298.83004900000003,302.048417,22
11/1974,299.576983,296.435045,301.02224900000004,21
10/1974,299.13459900000004,297.875211,300.488656,23
9/1974,299.006078,294.555556,303.295455,21
8/1974,301.771725,298.553241,303.416856,22
7/1974,289.69324700000004,283.06406699999997,297.698504,23
6/1974,282.471106,281.397971,285.0,20
5/1974,278.37914,276.16345099999995,281.93979900000005,23
4/1974,277.123647,273.846989,280.338983,22
3/1974,281.632681,274.199785,291.381937,21
2/1974,290.591913,280.763116,298.221983,20
1/1974,296.363051,278.578732,304.231387,23
12/1973,279.822637,279.120879,280.59384900000003,21
11/1973,277.573853,269.48873,281.132075,22
10/1973,266.11699300000004,265.274725,267.012561,23
9/1973,265.055586,263.747228,265.657677,20
8/1973,264.679738,263.044709,266.666667,23
7/1973,263.73707,258.022599,266.647399,22
6/1973,263.59927700000003,260.752688,265.347594,21
5/1973,264.30301000000003,261.76190499999996,265.591398,23
4/1973,265.032037,263.179916,266.63251,21
3/1973,263.770016,259.81651400000004,266.776316,22
2/1973,276.677956,259.823009,301.14613199999997,20
1/1973,301.569801,300.826291,302.429379,23
12/1972,300.474877,299.392523,301.771913,21
11/1972,300.391943,297.674419,301.288199,22
10/1972,300.862869,300.234742,301.331458,22
9/1972,300.764135,300.263405,301.388102,21
8/1972,300.8179,300.37807200000003,301.25947,23
7/1972,300.611792,299.448669,301.415005,21
6/1972,302.533537,294.817927,304.354916,22
5/1972,304.067943,303.67541800000004,304.703065,23
4/1972,303.180602,301.812144,304.658982,20
3/1972,302.291925,301.537727,303.205742,23
2/1972,305.10789700000004,301.931494,309.879285,21
1/1972,312.550486,309.97585699999996,315.01,21
12/1971,320.085217,314.96,327.6,23
